,Neighbourhood,Latitudes,Longitudes
0,Alandur,13.00282155,80.17191860222883
1,Anna Nagar,13.0872004,80.2164421
2,"Ashok Nagar, Chennai",13.0400731,80.2159247
3,Assisi Nagar,13.1646096,80.2330002
4,Ayanavaram,13.0946157,80.23541
5,Chennai city,13.0801721,80.2838331
6,Chitlapakkam,12.9330984,80.1413832
7,Chromepet,12.9521897,80.1411677
9,Egattur (Kanchipuram District),13.1071078,79.8841717
10,Guduvancheri,12.8439952,80.0608336
11,Iyyapanthangal,13.0379914,80.135136
12,"K. K. Nagar, Chennai",12.9835279,80.1567029
14,Kamarajapuram,12.9724421,80.1215013
15,Keelkattalai,12.9548473,80.1852685
16,Kelambakkam,12.7871437,80.219987
17,Kilpauk,13.0832149,80.2379864
18,Kodambakkam,13.049207,80.2242829
19,Kodungaiyur,13.1327533,80.2444773
20,Korattur,13.1115392,80.1842767
21,Korukkupet,13.1215344,80.2837912
22,Kosappur,13.1818301,80.2350982
23,Madambakkam,12.9057186,80.1543859
24,Madhavaram Milk Colony,13.1554081,80.2425246
25,Madipakkam,12.9611348,80.2001292
26,Maduravoyal,13.0601732,80.1665988
27,Manapakkam,13.0147531,80.1744935
29,Mugalivakkam,13.0205798,80.1685163
30,Nagappa Nagar,15.8329138,78.0497929
31,Navalur,15.4309743,75.0430119
33,Oragadam,13.130791,80.1529145
34,Padappai,12.8876927,80.0220457
35,Palavakkam,12.95999,80.2560268
36,Pallavaram,12.989815700000001,80.10098654184341
37,Pallikaranai,12.9304748,80.2077692
38,Pammal,12.9737938,80.1408
39,Panambakkam,13.0945199,79.8360812
40,Pattabiram,13.1186572,80.0649854
41,Peerkankaranai,12.9080858,80.1009824
42,Perambakkam,13.0378065,79.8138227
43,Perungalathur,12.9145454,80.0879549
45,Poonamallee,13.0768552,80.05106225488868
47,Pudupakkam,12.8097932,80.2035385
49,Puzhal,13.1636492,80.2038067
50,Saidapet,13.020817,80.2239536
51,Selaiyur,12.9187445,80.1311172
52,Sembakkam,12.7023624,80.1298612
55,Sholinganallur,12.9174426,80.21649018230858
56,Singaperumalkoil,12.9625594,79.9450132
57,Tambaram,12.9299028,80.1118231
58,Thalambur,12.836838,80.222211
59,Thiruneermalai,12.9633872,80.1144526
61,Thuraipakkam,12.9385525,80.2372132
62,Vadapalani,13.0509304,80.2120661
63,Virugambakkam,13.0475434,80.1922181
64,Vyasarpadi,13.1169726,80.2571242
65,Washermanpet,13.1136296,80.2814813
